법정동코드,법정동명,시도,시군구,위도,경도,가격점수,교통점수,교육점수,의료점수,공원점수,치안점수,평균거래가_억,종합점수_1인가구_대학생,종합점수_1인가구_직장인,종합점수_가족_자녀있음,종합점수_가족_노년
1111010100,서울특별시 종로구 청운동,서울특별시,종로구,37.5891974378627,126.969329763593,21.5,18.67,13.08,0.0,0.0,53.08,12.3,23.46,23.18,17.91,13.71
1111010200,서울특별시 종로구 신교동,서울특별시,종로구,37.5844902776102,126.967923271581,33.25,27.67,19.83,0.0,0.0,70.42,9.5,33.63,33.07,25.65,19.31
1111010800,서울특별시 종로구 통인동,서울특별시,종로구,37.5801444847071,126.97021199276,95.5,53.42,22.25,10.49,0.0,76.67,2.2,63.75,59.54,42.09,35.95
1111011100,서울특별시 종로구 옥인동,서울특별시,종로구,37.5835230926994,126.963385995622,12.5,27.33,21.67,10.49,26.94,58.0,15.5,27.11,28.59,25.44,23.45
1111011300,서울특별시 종로구 필운동,서울특별시,종로구,37.5778012532176,126.967749538039,17.5,54.42,39.92,0.0,0.0,79.33,13.4,37.59,41.28,34.66,21.96
1111011500,서울특별시 종로구 사직동,서울특별시,종로구,37.5754222287938,126.96631967084,7.67,46.33,56.58,10.49,17.0,71.17,18.3,33.55,37.42,39.02,26.36
1111011700,서울특별시 종로구 당주동,서울특별시,종로구,37.5715715163219,126.974000740278,42.5,90.5,38.08,36.27,0.0,62.83,8.0,53.78,58.58,46.24,39.45
1111011800,서울특별시 종로구 내수동,서울특별시,종로구,37.5733081682462,126.971962529742,6.5,80.0,41.92,27.1,26.94,60.67,19.8,40.55,47.9,41.41,35.04
1111012000,서울특별시 종로구 신문로1가,서울특별시,종로구,37.5701731498044,126.973901614206,40.17,82.58,41.92,44.54,26.94,67.75,8.4,55.27,59.51,50.53,47.52
1111012100,서울특별시 종로구 신문로2가,서울특별시,종로구,37.5706622933597,126.969722233416,0.33,50.08,45.17,24.35,26.94,65.17,43.1,31.84,36.81,37.23,31.0
1111012400,서울특별시 종로구 수송동,서울특별시,종로구,37.573677511354,126.980610942957,81.67,67.5,49.08,36.27,17.0,54.17,3.8,62.26,60.84,52.37,45.67
1111013300,서울특별시 종로구 익선동,서울특별시,종로구,37.5743345779563,126.989694095817,71.5,92.17,40.58,0.0,0.0,73.67,4.8,64.83,66.9,47.78,33.02
1111015700,서울특별시 종로구 인의동,서울특별시,종로구,37.572331192099,126.997668102599,34.0,69.83,27.83,0.0,0.0,59.83,9.4,42.72,46.3,32.9,22.45
1111016000,서울특별시 종로구 연지동,서울특별시,종로구,37.5737475791241,127.000131313214,98.0,76.08,20.75,20.97,26.94,57.0,1.6,69.5,67.31,46.73,44.62
1111016200,서울특별시 종로구 효제동,서울특별시,종로구,37.5725942661176,127.003056381131,96.83,92.67,14.83,31.46,0.0,65.67,2.0,72.51,72.09,47.44,45.39
1111016600,서울특별시 종로구 연건동,서울특별시,종로구,37.5786742164881,126.999669431165,97.17,66.25,24.0,24.35,0.0,53.08,1.9,63.61,60.51,43.33,38.88
1111016700,서울특별시 종로구 충신동,서울특별시,종로구,37.5749475538098,127.00595899872,70.67,57.25,22.75,16.62,0.0,77.0,4.9,56.42,55.07,40.06,34.83
1111016800,서울특별시 종로구 동숭동,서울특별시,종로구,37.5813770980376,127.004872670199,84.67,85.0,42.83,34.83,17.0,67.75,3.5,70.02,70.05,55.39,49.1
1111016900,서울특별시 종로구 혜화동,서울특별시,종로구,37.5868624440017,127.00060686405,44.67,60.75,47.17,39.92,0.0,79.67,7.8,51.11,52.72,47.9,41.06
1111017000,서울특별시 종로구 명륜1가,서울특별시,종로구,37.5891076921368,126.997468304522,62.75,40.5,36.75,29.44,17.0,84.5,5.6,54.0,51.77,45.3,41.68
1111017100,서울특별시 종로구 명륜2가,서울특별시,종로구,37.5846964544009,126.999030857136,27.5,72.0,37.42,31.46,0.0,70.42,10.6,45.15,49.6,41.43,34.77
1111017400,서울특별시 종로구 창신동,서울특별시,종로구,37.5752245135612,127.012828195947,50.33,70.83,29.25,57.24,34.0,85.75,7.1,60.2,62.25,51.8,55.79
1111017500,서울특별시 종로구 숭인동,서울특별시,종로구,37.5745280159936,127.019597569646,63.58,73.92,60.33,53.34,26.94,88.5,5.5,66.81,67.84,62.69,57.28
1111017700,서울특별시 종로구 평동,서울특별시,종로구,37.5678972658595,126.966843743393,5.67,89.58,50.58,31.46,0.0,61.92,20.9,40.87,49.26,43.47,32.64
1111017900,서울특별시 종로구 홍파동,서울특별시,종로구,37.5711327985696,126.963967103183,4.5,46.75,56.25,31.46,0.0,73.67,22.4,32.38,36.61,40.33,30.22
1111018000,서울특별시 종로구 교북동,서울특별시,종로구,37.5717842659119,126.96127267528,29.83,67.25,51.08,24.35,0.0,74.58,9.9,45.94,49.68,44.73,33.46
1111018100,서울특별시 종로구 행촌동,서울특별시,종로구,37.5733270930884,126.962272567935,86.42,69.33,54.75,16.62,17.0,69.0,3.3,66.65,64.94,54.33,42.2
1111018200,서울특별시 종로구 구기동,서울특별시,종로구,37.6193739703883,126.959299756836,64.0,10.5,2.33,27.1,0.0,45.33,5.5,35.56,30.21,22.74,27.05
1111018300,서울특별시 종로구 평창동,서울특별시,종로구,37.6063916960375,126.968357810931,24.5,7.0,25.0,34.83,47.72,48.67,11.3,27.82,26.07,29.52,34.66
1111018400,서울특별시 종로구 부암동,서울특별시,종로구,37.5924142953536,126.964061015983,56.17,17.33,11.25,16.62,17.0,55.5,6.2,38.19,34.3,26.92,28.26
1111018600,서울특별시 종로구 신영동,서울특별시,종로구,37.6025046922757,126.961818449159,68.0,11.83,27.33,10.49,0.0,55.5,5.1,39.75,34.13,30.07,24.75
1111018700,서울특별시 종로구 무악동,서울특별시,종로구,37.5759854736853,126.958245677349,18.5,95.67,44.42,27.1,34.0,59.42,13.1,49.25,56.97,46.83,39.76
1114011200,서울특별시 중구 남창동,서울특별시,중구,37.5576969045757,126.977559311953,87.83,97.92,24.67,42.86,0.0,84.67,3.0,75.53,76.54,54.39,51.9
1114011800,서울특별시 중구 남대문로5가,서울특별시,중구,37.5575773074592,126.97429533532,4.83,84.83,23.33,49.29,17.0,70.0,22.2,42.23,50.23,40.04,41.53
1114012100,서울특별시 중구 회현동1가,서울특별시,중구,37.555589207029,126.981204133005,9.17,66.83,24.0,36.27,0.0,77.83,17.4,38.5,44.26,35.72,33.63
1114012200,서울특별시 중구 회현동2가,서울특별시,중구,37.5587537703495,126.982919122029,4.67,72.0,20.42,16.62,0.0,84.0,22.2,38.29,45.02,32.72,27.34
1114012900,서울특별시 중구 남산동2가,서울특별시,중구,37.5584190512111,126.986396022059,55.33,84.0,19.33,0.0,0.0,66.0,6.4,54.53,57.4,36.6,27.57
1114013200,서울특별시 중구 충무로4가,서울특별시,중구,37.5622651534103,126.994327234401,23.67,99.67,27.83,29.44,0.0,66.42,11.7,49.35,56.95,41.23,35.18
1114013300,서울특별시 중구 충무로5가,서울특별시,중구,37.5631302462414,126.99982795883,92.58,63.83,13.58,27.1,17.0,80.83,2.7,68.26,65.39,45.42,45.96
